college_slno,college_name,course_slno,course_info
8,"AL IRSHAD ARTS AND SCIENCE COLLEGE FOR WOMEN,THECHIYAD,KALLURUTHY,KOZHIKODE",8.12,Development and Wellbeing PSY1MN102 - Growth and Development [Psychology 2024 syllabus]
8,"AL IRSHAD ARTS AND SCIENCE COLLEGE FOR WOMEN,THECHIYAD,KALLURUTHY,KOZHIKODE",8.13,STA1MN105 - Descriptive Statistics [Statistics 2024 syllabus]
8,"AL IRSHAD ARTS AND SCIENCE COLLEGE FOR WOMEN,THECHIYAD,KALLURUTHY,KOZHIKODE",8.14,Human Physiology ZOO1MN102 - Basics in Cellular Physiology [Zoology 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.1,Translation Studies in Arabic-I ARA1MN101 - Basics of Translation [Arabic 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.2,Translation Studies in Arabic- II ARA1MN102 - Basics of Arabic Writing [Arabic 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.3,Biochemistry Group 0 BCH1MN100 - Introduction to Biochemistry [Biochemistry 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.4,General Biochemistry BCH1MN101 - Biochemistry [Biochemistry 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.5,CHE1MN103 - Baisc Inorganic and Green Chemistry [Chemistry 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.7,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.8,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.9,Artificial Intelligence
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.1,Data Science
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.12,General Computing Principles CSC1MN105 - Introduction to IT [Computer Science 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.13,Fiscal Policy in Practice ECO1MN101 - Fiscal Tools for Policy Formulation [Economics 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.14,Monetary Policy in Practice ECO1MN102 - Monetary Tools for Policy Formulation [Economics 2024 syllabus]
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.15,English at Workspace
9,"AL JAMIA ARTS AND SCIENCE COLLEGE,",9.16,English For Content Creation ENG1MN101 - Fundamentals of Content Creation [English 2024 syllabus]
